City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Rocha,UY,-34.4833,-54.3333,83.28,59,62,10.83,broken clouds
315,San Pedro,PH,14.35,121.0167,78.8,73,75,5.75,broken clouds
316,Martapura,ID,-3.4167,114.85,75.2,94,90,2.3,overcast clouds
317,Hisar,IN,29.1667,75.7167,57.38,36,0,1.86,clear sky
318,Kavieng,PG,-2.5744,150.7967,83.14,79,93,16.46,overcast clouds
319,Picui,BR,-6.5106,-36.3469,89.06,35,47,10.69,scattered clouds
320,Yurty,RU,56.0498,97.6348,0.41,93,100,3.27,light snow
321,Miandoab,IR,36.9694,46.1027,44.6,49,0,9.22,clear sky
322,Cozumel,MX,20.5083,-86.9458,73.4,60,40,14.97,scattered clouds
323,Teguise,ES,29.0605,-13.564,66.2,59,75,17.27,broken clouds
324,Naze,JP,28.3667,129.4833,55.74,74,0,26.28,clear sky
325,Alexandria,EG,31.2156,29.9553,66.2,55,20,17.27,few clouds
326,Urumqi,CN,43.801,87.6005,-5.8,84,40,4.47,mist
327,Ancud,CL,-41.8697,-73.8203,60.8,67,40,6.91,scattered clouds
328,Provideniya,RU,64.3833,-173.3,-1.46,85,100,10.27,overcast clouds
329,Nome,US,64.5011,-165.4064,12.2,85,100,3.24,light snow
330,Campbell River,CA,50.0163,-125.2446,41.0,100,90,0.09,mist
331,Sinegorye,RU,62.0788,150.477,-35.88,78,98,0.63,overcast clouds
332,Kargasok,RU,59.0556,80.8572,0.3,93,77,6.8,broken clouds
333,Harper,LR,4.375,-7.7169,83.21,69,36,5.55,light rain
334,Srednekolymsk,RU,67.45,153.6833,-32.87,79,94,3.33,overcast clouds
335,Beruwala,LK,6.4788,79.9828,77.83,83,99,4.99,light rain
336,Cabatuan,PH,10.8794,122.486,75.72,88,100,14.79,overcast clouds
337,Bassano,CA,50.7834,-112.4685,30.2,86,22,6.91,few clouds
338,Kawalu,ID,-7.3817,108.2082,73.27,88,94,0.29,overcast clouds
339,Ngaoundere,CM,7.3167,13.5833,88.54,14,28,6.8,scattered clouds
340,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,87.8,58,17,5.19,few clouds
341,Fort Dodge,US,42.4975,-94.168,24.8,86,90,8.05,overcast clouds
342,Nehe,CN,48.4833,124.8333,-6.09,86,10,5.7,clear sky
343,Fare,PF,-16.7,-151.0167,80.89,76,0,11.18,clear sky
344,Camocim,BR,-2.9022,-40.8411,89.38,52,43,14.43,scattered clouds
345,Aswan,EG,24.0934,32.907,68.47,25,0,4.76,clear sky
346,Rodez,FR,44.5,2.5833,33.8,75,0,3.44,clear sky
