City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Korsakovo,RU,2021-01-11 01:20:31,53.2677,37.3569,6.98,95,36,6.22
272,Souillac,MU,2021-01-11 01:11:44,-20.5167,57.5167,78.8,94,75,4.61
273,Aguimes,ES,2021-01-11 01:20:31,27.9054,-15.4461,59.0,88,40,12.66
274,Sitka,US,2021-01-11 01:12:05,57.0531,-135.33,44.6,76,90,20.71
275,Bara,NG,2021-01-11 01:20:31,10.3744,10.7288,70.97,22,37,8.72
276,Auki,SB,2021-01-11 01:20:31,-8.7676,160.7034,88.56,60,99,1.05
277,Anloga,GH,2021-01-11 01:20:31,5.7947,0.8973,80.6,89,20,6.91
278,Porto Torres,IT,2021-01-11 01:20:31,40.835,8.3972,46.4,93,0,1.14
279,Goulburn,AU,2021-01-11 01:20:31,-34.75,149.7167,86.0,34,100,1.07
280,Constitucion,CL,2021-01-11 01:11:56,-35.3333,-72.4167,57.99,92,100,4.9
281,Rocha,UY,2021-01-11 01:09:42,-34.4833,-54.3333,72.07,92,40,14.0
282,Cananeia,BR,2021-01-11 01:20:31,-25.0147,-47.9267,77.22,88,100,3.42
283,Araouane,ML,2021-01-11 01:11:42,18.9048,-3.5265,65.43,33,0,13.85
284,Hirara,JP,2021-01-11 01:17:28,24.8,125.2833,64.4,59,75,10.36
285,Cayenne,GF,2021-01-11 01:12:05,4.9333,-52.3333,75.2,100,75,6.91
286,Srednekolymsk,RU,2021-01-11 01:11:40,67.45,153.6833,-31.23,84,94,2.35
287,Inta,RU,2021-01-11 01:20:32,66.0317,60.1659,-12.3,85,1,3.11
288,Ballitoville,ZA,2021-01-11 01:20:32,-29.539,31.2144,68.0,94,90,5.75
289,Valley City,US,2021-01-11 01:20:32,46.9233,-98.0032,28.4,100,1,16.11
290,Springville,US,2021-01-11 01:20:32,40.1652,-111.6107,30.0,74,40,4.61
291,Saint-Pierre,RE,2021-01-11 01:20:32,-21.3393,55.4781,77.0,94,75,8.05
292,Orlik,RU,2021-01-11 01:11:41,52.5178,99.825,-6.92,82,100,3.44
