City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
483,483,Kosonsoy,UZ,39.2,mist,41.2561,71.5508,"Гостиница ""Goldstar'"
484,484,Albanel,CA,19.4,overcast clouds,48.8832,-72.4487,Camping municipal d'Albanel
485,485,Tarana,IN,68.56,clear sky,23.3333,76.0333,दिल्ली दरबार होटल
489,489,Shelburne,CA,32.0,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
490,490,Tateyama,JP,46.99,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
491,491,Vardo,NO,32.0,scattered clouds,70.3705,31.1107,Vardø Hotel AS
493,493,Boyle,US,33.01,light snow,37.6334,-84.8666,Chaplin Hill Bed and Breakfast
496,496,Petropavlovsk-Kamchatskiy,RU,14.0,overcast clouds,53.0452,158.6483,"ООО ""Гостиничный комплекс ""Петропавловск"""
497,497,Bardiyah,LY,63.64,scattered clouds,31.7561,25.0865,بورتو بردية
498,498,Kazachinskoye,RU,6.17,light snow,57.6953,93.2761,"Gostinitsa ""Tk Telemaks"""
499,499,San Jose,US,51.01,scattered clouds,37.3394,-121.895,The Westin San Jose
500,500,Xining,CN,10.76,broken clouds,36.6167,101.7667,Super Leisure Hotel
504,504,Tangshan,CN,18.41,clear sky,39.6333,118.1833,Civil Affairs Hotel
507,507,Gravdal,NO,33.8,moderate rain,68.1214,13.5031,Skreda Rorbusuiter
508,508,Havelock,US,48.0,clear sky,34.8791,-76.9013,Sherwood Motel
509,509,Gushikawa,JP,60.8,light rain,26.3544,127.8686,Kirari Guest House
512,512,Scarborough,GB,43.0,broken clouds,54.2797,-0.4044,Ambassador
514,514,Rio Grande,BR,69.8,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
515,515,Chardara,KZ,54.05,broken clouds,41.2547,67.9692,Жанаргул
517,517,Roald,NO,28.4,clear sky,62.5833,6.1333,Flem Cabins
519,519,Kutiyana,IN,67.35,clear sky,21.6233,69.9817,દેવંગી પાન
521,521,Comodoro Rivadavia,AR,60.8,clear sky,-45.8667,-67.5,Austral Hotel
522,522,Berlevag,NO,37.4,scattered clouds,70.8578,29.0864,Kvitbrakka
527,527,Vestmanna,FO,44.6,overcast clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
529,529,Antigonish,CA,35.01,overcast clouds,45.6169,-61.9986,Claymore Inn and Suites
